Item,Q (df = 18),Q p-value,I2,z-statistic,z p-value
1,170.25,6.539006857698879e-39,82,-13.05,6.539006857698974e-39
2,60.4,7.730740309768401e-15,70,7.77,7.730740309768299e-15
3,479.79,2.3771831908704934e-106,71,-21.9,2.3771831908705007e-106
4,0.38,0.5360875772991237,74,0.62,0.5360875772991238
5,318.76,2.6914240659695156e-71,81,-17.85,2.691424065969415e-71
6,230.12,5.6047906754965924e-52,36,15.17,5.604790675496723e-52
7,477.78,6.482893788247423e-106,60,21.86,6.482893788247641e-106
8,0.06,0.8047553677935749,62,0.25,0.804755367793575
9,438.92,1.860988794009035e-97,63,20.95,1.8609887940090434e-97
10,23.22,1.445790974894332e-06,70,-4.82,1.4457909748943345e-06
11,397.9,1.5781546049402256e-88,73,-19.95,1.5781546049403057e-88
12,236.53,2.248408983063108e-53,74,-15.38,2.2484089830631345e-53
13,51.46,7.300816936600438e-13,75,7.17,7.300816936600419e-13
14,401.52,2.5662501029628794e-89,69,-20.04,2.5662501029629523e-89
15,95.67,1.3593085993806124e-22,53,9.78,1.359308599380622e-22
16,14.24,0.0001605237891172787,84,3.77,0.00016052378911727877
17,19.49,1.009255092755799e-05,74,-4.42,1.0092550927558002e-05
