Country,Succesful Replication,Continent,Colour
Pooled,0.9375,Pooled,"(0.86, 0.33999999999999997, 0.7545142857142858)"
UK,0.9375,Europe,"(0.86, 0.3712, 0.33999999999999997)"
Denmark,0.875,Europe,"(0.86, 0.3712, 0.33999999999999997)"
Hungary,0.875,Europe,"(0.86, 0.3712, 0.33999999999999997)"
Mainland China,0.875,Asia,"(0.86, 0.8169142857142857, 0.33999999999999997)"
Norway,0.875,Europe,"(0.86, 0.3712, 0.33999999999999997)"
Serbia,0.875,Europe,"(0.86, 0.3712, 0.33999999999999997)"
USA,0.8125,North America,"(0.4573714285714283, 0.86, 0.33999999999999997)"
Slovenia,0.8125,Europe,"(0.86, 0.3712, 0.33999999999999997)"
Belgium,0.8125,Europe,"(0.86, 0.3712, 0.33999999999999997)"
Germany,0.8125,Europe,"(0.86, 0.3712, 0.33999999999999997)"
Hong Kong,0.8125,Asia,"(0.86, 0.8169142857142857, 0.33999999999999997)"
Spain,0.8125,Europe,"(0.86, 0.3712, 0.33999999999999997)"
Italy,0.8125,Europe,"(0.86, 0.3712, 0.33999999999999997)"
Sweden,0.75,Europe,"(0.86, 0.3712, 0.33999999999999997)"
Australia,0.75,Oceania,"(0.33999999999999997, 0.86, 0.6683428571428571)"
Austria,0.75,Europe,"(0.86, 0.3712, 0.33999999999999997)"
Bulgaria,0.75,Europe,"(0.86, 0.3712, 0.33999999999999997)"
Ireland,0.75,Europe,"(0.86, 0.3712, 0.33999999999999997)"
Chile,0.6875,South America,"(0.33999999999999997, 0.6059428571428571, 0.86)"
